Disease,Description
Flu,Viral infection causing fever fatigue headache body pain and sore throat.
Common Cold,Mild viral respiratory infection with runny nose sneezing and cough.
Typhoid,Bacterial infection from contaminated food or water causing prolonged fever and weakness.
Allergy,Immune system reaction to allergens causing itching rashes and sneezing.
Dengue,Mosquito borne viral disease causing high fever joint pain and severe weakness.
COVID-19,Respiratory viral infection causing fever cough fatigue and breathing difficulty.
Sore Throat,Inflammation of throat tissues causing pain while swallowing.
Gastroenteritis,Infection of stomach and intestines causing vomiting diarrhea and dehydration.
Heart Disease,Condition affecting heart function causing chest pain breathlessness and dizziness.
Viral Fever,General viral infection causing fever weakness and body pain.
